Country,Sex Ratio,GDP per Capita,Unique Top Artists
Colombia,"[0.9090909090909091, 0.09090909090909091, 0.0, 0.0]",19482,"{'Sky Rompiendo', 'Tony Dize', 'Esteban Rojas', 'Plan B', 'Los Rogelios', 'Blessd', 'Myke Towers', 'Chino Pacas', 'Calle 24', 'Ozuna', 'Eslabon Armado', 'Cheztom', 'Yng Lvcas', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Fuerza Regida', 'Manuel Turizo', 'Carin Leon', 'Reboll333', 'ElMalaFama', 'Wolfine', 'Shakira', 'Chencho Corleone', 'SOG', 'Mora', 'Darell', 'Brray', 'Grupo Frontera', 'iñigo quintero', 'Soley', 'Yandel', 'Gabito Ballesteros', 'Robin Rouse', 'Quevedo', 'Bryant Myers', 'Ryan Castro', 'Milo j', 'Nath', 'Bizarrap', 'Rema', 'Ñejo', 'Dei V', 'Piso 21', 'Peso Pluma', 'Junior H', 'Jhayco', 'Silvestre Dangond', 'Maluma', 'Young Miko', 'DFZM', 'KAROL G', 'Tego Calderón', 'Pirlo', 'Hades66'}"
Costa Rica,"[0.8536585365853658, 0.14634146341463414, 0.0, 0.0]",26809,"{'Eladio Carrion', 'Plan B', 'Myke Towers', 'Chino Pacas', 'Ozuna', 'Calle 24', 'Eslabon Armado', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Fuerza Regida', 'Manuel Turizo', 'Carin Leon', 'Shakira', 'Romeo Santos', 'Jimin', 'Mora', 'Darell', 'Kany García', 'Grupo Frontera', 'iñigo quintero', 'YOVNGCHIMI', 'Gabito Ballesteros', 'Gerardo Coronel', 'Drake', 'Quevedo', 'Bryant Myers', 'Milo j', 'Bizarrap', 'Dei V', 'Tokischa', 'Peso Pluma', 'Jhayco', 'Junior H', 'Yahritza Y Su Esencia', 'Bad Gyal', 'Maluma', 'Young Miko', 'Taiu', 'KAROL G', 'Luar La L'}"
Czech Republic,"[0.7727272727272727, 0.18181818181818182, 0.045454545454545456, 0.0]",49025,"{'The Neighbourhood', 'SIMILIVINLIFE', 'RAYE', 'BENNETT', 'Macklemore', 'Sofian Medjmedj', 'KOJO', 'Kenya Grace', 'Ben Cristovao', 'Robin Zoot', 'Ektor', 'Rohony', 'OneRepublic', 'Annet X', 'Separ', 'Hard Rico', 'Lord Huron', 'Yzomandias', 'Ryan Lewis', 'ŠKWOR', 'mdmx', 'David Guetta', 'iñigo quintero', 'Tate McRae', 'D-Block Europe', 'P T K', 'Hasan', 'Tom Odell', 'Dua Lipa', 'David Kushner', 'SUICIDAL-IDOL', 'Bebe Rexha', 'Macklemore & Ryan Lewis', 'Mitski', 'Viktor Sheen', 'Dollar Prync', 'Vadak', 'Ray Dalton', 'STEIN27', 'Calin', 'Doja Cat', 'cassö', 'Nik Tendo', 'Jerry Lee'}"
Denmark,"[0.7111111111111111, 0.28888888888888886, 0.0, 0.0]",74958,"{'andreas odbjerg', 'D1MA', 'Wham!', 'Baloosh', 'RAYE', 'Dave', 'Burhan G', 'Gobs', 'Omar', 'Artigeardit', 'B.O.C', 'Gilli', 'Kenya Grace', 'Tessa', 'Ida Laurberg', 'Mariah Carey', 'Ariana Grande', 'Branco', 'iñigo quintero', 'Tate McRae', 'Tyla', 'DJ Aligator', 'D-Block Europe', 'Caroline Dubois', 'Saveus', 'Central Cee', 'Mekdes', 'Merro8', 'Benny Jamz', 'Makar', 'ICEKIID', 'KIDD', 'Mads Langer', 'Justin Bieber', 'TopGunn', 'Lamin', 'Doja Cat', 'Tobias Rahim', 'Frida Brygmann', 'cassö', 'Taylor Swift', 'KESI', 'URO', 'Ukendt Kunstner', 'The Beatles'}"
Dominican Republic,"[0.8461538461538461, 0.15384615384615385, 0.0, 0.0]",25523,"{'Kreizy k', 'Jung Kook', 'Eladio Carrion', 'Yaisel LM', 'Latto', 'Donaty', 'Myke Towers', 'Ozuna', 'Bad Bunny', 'Feid', 'Carin Leon', 'Shakira', 'Chencho Corleone', 'Romeo Santos', 'Jey One', 'Mora', 'Darell', 'Grupo Frontera', 'El Baby R', 'Rochy RD', 'iñigo quintero', 'Brytiago', 'YOVNGCHIMI', 'Drake', 'Quevedo', 'Bryant Myers', 'Arcángel', 'Milo j', 'Bizarrap', 'Dei V', 'Tokischa', 'Peso Pluma', 'Jhayco', 'Hansel El De La H', 'Bad Gyal', 'Maluma', 'Young Miko', 'KAROL G', 'Luar La L'}"
Ecuador,"[0.8260869565217391, 0.15217391304347827, 0.0, 0.021739130434782608]",13285,"{'Jung Kook', 'Sky Rompiendo', 'Plan B', 'Latto', 'Myke Towers', 'Chino Pacas', 'Bellakath', 'Calle 24', 'Ozuna', 'Dani Flow', 'Marshmello', 'Yng Lvcas', 'Bad Bunny', 'Feid', 'Fuerza Regida', 'Manuel Turizo', 'Carin Leon', 'Tainy', 'Wolfine', 'Chencho Corleone', 'Shakira', 'Mora', 'SOG', 'Darell', 'Bacilos', 'Grupo Frontera', 'iñigo quintero', 'Yandel', 'Gabito Ballesteros', 'Quevedo', 'Ryan Castro', 'Milo j', 'Bizarrap', 'Ñejo', 'Piso 21', 'Tokischa', 'Peso Pluma', 'Jhayco', 'Junior H', 'Bad Gyal', 'Maluma', 'Belanova', 'Young Miko', 'Taiu', 'KAROL G', 'Tego Calderón'}"
Egypt,"[0.8088235294117647, 0.16176470588235295, 0.029411764705882353, 0.0]",17123,"{'Essam Sasa', 'Jung Kook', 'Balti', 'Ahmed Kamel', 'Muslim - مُسلِم', 'Hassan El Shafei', 'Ruby', 'Vortex', 'Wegz', 'Ahmed Saad', 'Reda El Bahrawy', 'Dana Salah', 'Mohamed Mounir', 'Bataineh', 'Amir Eid', 'Dina El Wedidi', 'Abd El Basset Hamouda', 'Al Nather', 'Afroto', 'Saif safadi', 'Issam Alnajjar', 'Randar', 'Fuad Gritli', 'Wael Jassar', 'NORDO', 'Donia Wael', 'Cairokee', 'Bosy', 'Muslim', 'Nawal', '3enba', 'Osos', 'Assala Nasri', 'Skales', 'Muhab', 'Hamza Namira', 'Ali Rabee', 'Shabjdeed', 'Ramy Sabry', 'Bahaa Sultan', 'Marwan Moussa', 'Smallx', 'Mohammed Saeed', 'Mahmoud El Leithy', 'Marwan Pablo', 'Alyoung', 'Dafencii', 'Karim Cristiano', 'Hamdy Batshan', 'A5rass - الاخرس', 'A.L.A', 'Amr Diab', 'Tamer Ashour', 'Farid', 'Maha Ftouni', 'El Mahrgan', 'Ghaliaa', 'Omar Rammal', 'Rajieen', 'Shroof', 'Double Zuksh', 'Mohamed Hamaki', 'Hassan El Kholaey', 'Wessam Qutob', 'zeyne', 'Sherine', 'Mohamed Ramadan', 'Sharmoofers'}"
El Salvador,"[0.8666666666666667, 0.13333333333333333, 0.0, 0.0]",11717,"{'Jung Kook', 'Tony Dize', 'Plan B', 'Latto', 'Chino Pacas', 'Myke Towers', 'Bellakath', 'Calle 24', 'Ozuna', 'Eslabon Armado', 'Dani Flow', 'Marshmello', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Yng Lvcas', 'Fuerza Regida', 'Manuel Turizo', 'Carin Leon', 'Tainy', 'Chencho Corleone', 'Jimin', 'Mora', 'Darell', 'Grupo Frontera', 'iñigo quintero', 'J Balvin', 'Gabito Ballesteros', 'YOVNGCHIMI', 'Gerardo Coronel', 'Quevedo', 'Bryant Myers', 'Milo j', 'Bizarrap', 'Piso 21', 'Tokischa', 'Peso Pluma', 'Junior H', 'Jhayco', 'Bad Gyal', 'Maluma', 'Young Miko', 'Tego Calderón', 'KAROL G', 'Luar La L'}"
Estonia,"[0.6825396825396826, 0.2222222222222222, 0.09523809523809523, 0.0]",45236,"{'Jung Kook', 'The Neighbourhood', 'Joost', 'Takura', 'Wham!', 'Latto', 'Peggy Gou', 'Три дня дождя', 'RAYE', 'Madonna', 'Karl Killing', '5MIINUST', 'Dave', 'Trigga', 'Flowdan', 'SPLYXER', 'Kenya Grace', 'Gunna', 'MONA', 'Playboi Carti', 'Big Baby Tape', 'Mariah Carey', 'Yeat', 'Lord Huron', 'FMMB', 'gameboy tetris', 'iñigo quintero', 'Daft Punk', 'Tate McRae', 'Reket', 'Tyla', 'D-Block Europe', 'Ski Aggu', 'IRAH', 'Drake', 'Groove Dealers', 'Tom Odell', 'David Kushner', 'The Weeknd', 'kizaru', 'Central Cee', 'Dua Lipa', 'Otto Waalkes', 'SUICIDAL-IDOL', 'Troye Sivan', 'Mitski', 'Memphis Cult', 'boipepperoni', 'Arctic Monkeys', 'Dwele', 'Kanye West', 'Käärijä', 'Lil Peep', 'Bou', 'nublu', 'Doja Cat', 'villemdrillem', 'Billie Eilish', 'cassö', 'Aarne', 'Taylor Swift', 'NEXUS', 'Chase & Status'}"
Finland,"[0.7209302325581395, 0.27906976744186046, 0.0, 0.0]",59869,"{'C.Gambino', 'Spekti', 'SHRTY', 'Isac Elliot', 'koira', 'BEHM', 'Cledos', 'RAYE', 'Annika Eklund', 'Robin Packalen', 'Turisti', 'Joalin', 'jambo', 'KUUMAA', 'Lauri Haav', 'Kenya Grace', 'Joe L', 'Jami Faltin', 'Purplape', 'Karim B', 'Olavi Uusivirta', 'HUGO', 'Pyrythekid', 'DJ Oku Luukkainen', 'Bee', 'Ellinoora', 'VJ', 'Tate McRae', 'D-Block Europe', 'Hätä-Miikka', 'Etta', 'Costi', 'JANNA', 'Mirella', 'Averagekidluke', 'Axel Kala', 'BESS', 'Gettomasa', 'ibe', 'Käärijä', 'Gasellit', 'cassö', 'Ege Zulu'}"
